ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
92.109.68.255,80000009030000ebd5ec4400,18,14389448,9,0000ebd5ec4400
91.196.171.25,800007c703002438a2b900,74,25943983,1991,002438a2b900
92.66.150.128,8000000903004c5d3c541070,24,8722282,9,004c5d3c541070
93.117.251.177,800033870370fc8c161b1c,0,0,13191,70fc8c161b1c
144.178.228.7,80000009030000778df5cf81,14,19190651,9,0000778df5cf81
109.206.178.68,80001f8880ab97714d76a7606500000000,2,26054741,8072,No Mac indication (0x03)
91.148.242.2,f5717f444ca88d8dd700,30,80897330,1970372420,No Mac indication (0x03)
92.70.239.190,800000090300005d73ccdd74,2,20052946,9,00005d73ccdd74
93.117.237.152,800033870370fc8c50df00,0,0,13191,70fc8c50df00
92.67.140.188,80000009030080248f15c580,8,11755327,9,0080248f15c580
93.117.208.210,8000000903007411b2a6ff80,13,61440575,9,007411b2a6ff80
91.189.211.193,80000009030058ac78269080,11,99156226,9,0058ac78269080
145.220.141.86,80001f8880261889700e3bf35f00000000,17,4008476,8072,No Mac indication (0x03)
145.220.141.27,80001f8880261889700e3bf35f00000000,17,4008476,8072,No Mac indication (0x03)
93.90.66.79,80000009030070695abf27ee,6,11312315,9,0070695abf27ee
145.128.240.21,80000009ee000008e3fffc10,1,112946336,9,No Mac indication (0x03)
149.143.21.64,800000090300a00f37fa5300,10,19288272,9,00a00f37fa5300
109.72.92.195,800007c7030012f29c3300,618,128921879,1991,0012f29c3300
94.215.59.1,800000090300002790ff7000,35,26662546,9,00002790ff7000
91.105.216.251,800000090300648f3eabda80,4,9779920,9,00648f3eabda80
92.65.123.232,8000000903000062ec6dcda0,12,598318,9,000062ec6dcda0
94.142.209.161,80000009030058ac78268c80,16,4563154,9,0058ac78268c80
91.103.21.184,000000090300cced4dbbb7d0,3,6557211,9,not_set
87.233.240.146,80000a4c03100e7e4cff00,4,143768835,2636,100e7e4cff00
145.131.248.205,800000090300003a7d4aa3a0,4,1017783,9,00003a7d4aa3a0
89.32.247.76,80001f8880d55524171be8cf6200000000,23,9370371,8072,No Mac indication (0x03)
93.186.187.243,80000634b20400001014cbd196,3,69617363,1588,No Mac indication (0x03)
94.210.225.164,80000b2f05b0c2872a7ec733,1,2002259,2863,No Mac indication (0x03)
145.74.232.63,80000009030024169db44580,4,146373624,9,0024169db44580
92.110.60.255,8000000903000029c2017000,8,30808663,9,000029c2017000
109.109.124.48,80000009030024169dbaf400,18,69780841,9,0024169dbaf400
92.66.35.129,800000090300885a92e999d6,4,25326295,9,00885a92e999d6
92.246.95.190,8000000903d4e88026545c,0,0,9,d4e88026545c
92.110.34.255,8000000903000029c2017000,8,30808664,9,000029c2017000
91.103.21.33,800000090300ecf40c4fd66c,1,16832742,9,00ecf40c4fd66c
92.70.254.121,800000090300c828e5f38100,20,13804926,9,00c828e5f38100
94.211.192.0,8000000903007018a767a800,8,27267660,9,007018a767a800
92.66.71.217,800000090300cc46d6c0ed48,3,14355844,9,00cc46d6c0ed48
92.68.168.95,800000090300188090f91524,3,3955006,9,00188090f91524
144.178.250.191,8000000903006c29d223ba81,4,33792772,9,006c29d223ba81
93.117.240.129,8000000903007411b2a7d400,34,4876907,9,007411b2a7d400
139.28.203.43,8000000903006c8d771bff80,6,79812244,9,006c8d771bff80
94.209.180.37,8000124c053c77e620345d33,131,3517270,4684,No Mac indication (0x03)
94.213.35.1,80000009030034f8e758d800,10,6794315,9,0034f8e758d800
92.63.170.114,80000a4c01b9bb0c01,17,2980351,2636,No Mac indication (0x03)
154.14.102.82,80000009030084b26168978e,55,8684803,9,0084b26168978e
91.232.115.143,800000090300b0aa7727b000,21,89162329,9,00b0aa7727b000
92.68.107.1,800000090300002a103c1430,3,5360820,9,00002a103c1430
145.220.141.84,80001f8880261889700e3bf35f00000000,17,4008484,8072,No Mac indication (0x03)
134.19.188.89,80000a4c03ec3873d5382c,2,145499253,2636,ec3873d5382c
145.94.57.255,80000009030020cfae83f100,21,36942618,9,0020cfae83f100
87.236.1.141,80000009030044d3caa7e818,14,21785820,9,0044d3caa7e818
92.70.189.106,80003a8c04,0,0,invalid,invalid
109.109.101.145,800000090300b0c53ce4ad80,34,31934016,9,00b0c53ce4ad80
