IP,Enterprise Code,MAC,Vendor
80.67.33.177,4413.0,No Mac indication (0x03),Broadcom Limited
80.113.22.48,9.0,0040f078badb00,ciscoSystems
80.113.248.25,9.0,00148473ec8d80,ciscoSystems
80.114.47.0,9.0,007018a7665c00,ciscoSystems
80.169.129.66,9.0,0070708b4a1e00,ciscoSystems
82.75.60.163,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.112.49.1,9.0,00002790fee000,ciscoSystems
80.113.7.33,9.0,00a41875635901,ciscoSystems
82.101.247.1,9.0,0028526129c800,ciscoSystems
78.108.138.40,9.0,00ec447630f483,ciscoSystems
80.56.45.0,9.0,00f4bd9ee3f000,ciscoSystems
81.173.72.112,9.0,002436dad07580,ciscoSystems
82.75.252.255,9.0,00285261fa5000,ciscoSystems
82.151.48.209,9.0,0000260b7a091c,ciscoSystems
80.114.208.243,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.114.207.37,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.73.47,9.0,00000000000000,ciscoSystems
80.67.65.3,9.0,0070695a2b4f80,ciscoSystems
81.30.32.6,9.0,0010e376a2ab80,ciscoSystems
81.30.47.52,9.0,00a4530ea78900,ciscoSystems
81.173.125.103,9.0,not_set,ciscoSystems
80.113.23.16,9.0,00084fa98afa00,ciscoSystems
80.255.249.57,9.0,008c941fbb1780,ciscoSystems
82.151.47.184,9.0,0000260b7a1d8b,ciscoSystems
81.173.64.169,9.0,004c4e35877da4,ciscoSystems
81.173.51.88,9.0,not_set,ciscoSystems
80.112.57.255,9.0,00002790ffc800,ciscoSystems
81.171.92.251,1991.0,748ef8ccb1c0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
81.173.125.151,2011.0,a4c64f3b995b,"HUAWEI Technology Co.,Ltd"
80.115.150.77,2863.0,No Mac indication (0x03),Thomson Inc.
81.171.17.182,8072.0,No Mac indication (0x03),net-snmp
82.75.73.183,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.249.209.204,9.0,not_set,ciscoSystems
82.94.215.1,6027.0,not_set,"Force10 Networks, Inc."
82.175.128.127,9.0,00442b035deb00,ciscoSystems
80.113.97.151,9.0,007cad4f9b7080,ciscoSystems
80.113.129.80,9.0,007cad4f9b6d00,ciscoSystems
82.73.126.255,9.0,000029c2019000,ciscoSystems
82.148.196.107,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
80.113.47.224,9.0,0004a7418f9300,ciscoSystems
77.251.252.255,9.0,000027900df000,ciscoSystems
80.255.246.151,9.0,00549fc64ec880,ciscoSystems
77.250.60.255,9.0,0000ebd5ec4400,ciscoSystems
80.246.199.61,9.0,00a00f37eae180,ciscoSystems
77.249.243.0,9.0,0000ebd5ec4400,ciscoSystems
