IP,Enterprise Code,MAC,Engine Time,Engine Boots,Vendor,Scan Date,Reboot Date
193.187.189.35,1588.0,No Mac indication (0x03),44214462.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_18_21_23
193.37.204.185,1588.0,No Mac indication (0x03),70125370.0,6.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_13_2023_20_52_55
195.66.134.49,318.0,00c0b75db1ee,4117465.0,1300.0,American Power Conversion Corp.,06_02_12_09_05,04_15_2025_20_24_40
193.187.191.209,1588.0,No Mac indication (0x03),44214475.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_18_21_10
194.120.46.84,10297.0,74fe4861f31b,816181.0,1.0,"Advantech Co., Ltd.",06_02_12_09_05,05_24_2025_01_26_04
212.45.61.125,369629558.0,not_set,91792292.0,3.0,unknown,06_02_12_09_05,07_06_2022_02_17_33
194.171.108.19,25506.0,No Mac indication (0x03),134351973.0,2.0,H3C,06_02_12_09_05,02_28_2021_12_09_32
193.34.81.201,232.0,No Mac indication (0x03),1748860017.0,30.0,Compaq,06_02_12_09_05,01_01_1970_01_42_08
193.34.81.195,232.0,No Mac indication (0x03),1748860049.0,4.0,Compaq,06_02_12_09_05,01_01_1970_01_41_36
193.34.81.98,232.0,No Mac indication (0x03),1748859744.0,11.0,Compaq,06_02_12_09_05,01_01_1970_01_46_41
193.34.81.187,232.0,No Mac indication (0x03),1748859512.0,34.0,Compaq,06_02_12_09_05,01_01_1970_01_50_33
193.172.18.6,11.0,not_set,31188948.0,18.0,Hewlett-Packard,06_02_12_09_05,06_06_2024_12_33_17
193.239.119.83,1970372420.0,No Mac indication (0x03),1440313.0,40.0,unknown,06_02_12_09_05,05_16_2025_20_03_52
195.219.146.2,1970372504.0,No Mac indication (0x03),1514919.0,8.0,unknown,06_02_12_09_05,05_15_2025_23_20_26
194.120.147.212,10297.0,74fe4861e831,40158.0,1.0,"Advantech Co., Ltd.",06_02_12_09_05,06_02_2025_00_59_47
195.54.39.254,2352.0,No Mac indication (0x03),88735647.0,23.0,"Ericsson, Inc. (formerly 'RedBack Networks')",06_02_12_09_05,08_10_2022_11_21_38
193.187.191.211,1588.0,No Mac indication (0x03),44214625.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_18_18_40
195.35.154.234,3097.0,No Mac indication (0x03),515901.0,1.0,WatchGuard Technologies Inc.,06_02_12_09_05,05_27_2025_12_50_44
193.242.210.141,1970372544.0,No Mac indication (0x03),8614040.0,7.0,unknown,06_02_12_09_05,02_22_2025_19_21_45
193.187.189.203,1588.0,No Mac indication (0x03),122957878.0,2.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,07_10_2021_09_11_07
193.34.81.146,232.0,No Mac indication (0x03),1748859692.0,7.0,Compaq,06_02_12_09_05,01_01_1970_01_47_33
194.122.73.164,16378.0,00042d0edc85,20530.0,1.0,Sarian Systems Limited,06_02_12_09_05,06_02_2025_06_26_55
194.120.181.241,10297.0,7a577e217227,336638.0,1.0,"Advantech Co., Ltd.",06_02_12_09_05,05_29_2025_14_38_27
