ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
31.149.204.37,80001f88808c4d3e362c00000000000000,1,3972745,8072,No Mac indication (0x03)
31.149.132.135,80000009030058569f169880,6,7694143,9,0058569f169880
31.160.96.23,800000090300c014fe4e3180,13,10546626,9,00c014fe4e3180
45.11.167.190,80000009030080e01db43875,4,19126582,9,0080e01db43875
37.114.90.233,80000009030060735c5636fe,2,19534689,9,0060735c5636fe
37.153.253.40,800000090300649ef3dac980,4,152774557,9,00649ef3dac980
37.74.75.32,80000009030020cc279b1967,1,14433922,9,0020cc279b1967
31.20.199.1,502660000000010030000039,11,49971962,1344692224,not_set
45.10.230.89,8000304404464754343046544b3231303338343831,1726643686,21696605,12356,No Mac indication (0x03)
31.160.133.40,8000000903000081c40fd192,2,36106899,9,000081c40fd192
31.160.227.185,80000009030000fd228e4180,10,16177445,9,0000fd228e4180
31.3.9.203,800000090300500f807e3700,14,5943067,9,00500f807e3700
23.249.236.23,800000090300f8c28806dec4,8,17031079,9,00f8c28806dec4
31.160.243.65,80000009030000be75519b80,10,100414988,9,0000be75519b80
31.149.17.160,80000009030000fd229dfc48,2,9940833,9,0000fd229dfc48
37.235.115.56,800000090300188b9db85e00,7,172975616,9,00188b9db85e00
5.39.220.155,800007c703cc4e24c28fdc,26,91820033,1991,cc4e24c28fdc
37.74.43.65,80001f88808410b4112b00000000000000,1,3319415,8072,No Mac indication (0x03)
31.160.87.191,80000009030070695a6083d8,2,6804859,9,0070695a6083d8
31.149.66.188,80000009030020cc279b13d7,1,1033504,9,0020cc279b13d7
37.114.89.24,80000009030074a2e677bc60,2,18681503,9,0074a2e677bc60
37.203.59.160,800000090300001ef6253a01,2,272754084,9,00001ef6253a01
31.160.19.25,800000090300a8b45647041c,3,8721666,9,00a8b45647041c
31.160.4.231,800000090300005d73266512,2,35397042,9,00005d73266512
31.160.148.224,8000000903004c776d569be2,2,67280120,9,004c776d569be2
5.159.33.178,8000000903002834a22e8b03,16,35572021,9,002834a22e8b03
31.161.45.17,80000009030084b2618d12f0,2,17374068,9,0084b2618d12f0
31.149.66.81,80000009030070ea1afb8880,13,18498615,9,0070ea1afb8880
37.74.97.145,800000090300d4e880d8734c,2,9503822,9,00d4e880d8734c
37.153.216.42,80001f88031056ca1a506c,1,76591,8072,1056ca1a506c
31.149.145.97,800000090300706d15cb7390,15,102487603,9,00706d15cb7390
31.149.14.89,800000090300e4387ed5dc00,10,433187,9,00e4387ed5dc00
23.249.234.172,800000090300588b1c9c8c00,10,950320,9,00588b1c9c8c00
5.10.127.130,80000009034c0082fc5440,0,0,9,4c0082fc5440
23.249.233.75,0000000903005c3e06c2abe6,9,24573693,9,not_set
31.149.6.137,800000090300e4387ed5d500,5,16261264,9,00e4387ed5d500
31.149.246.49,800000090300a093514d85f0,1,110405423,9,00a093514d85f0
37.235.116.245,80000009030024161b3b4d80,52,230564,9,0024161b3b4d80
5.200.30.57,800000090300dceb94dff080,4,80093570,9,00dceb94dff080
31.161.1.249,80000009030000351a074cc4,2,8206841,9,0000351a074cc4
45.11.164.155,800000090300cc46d6a6598d,2,11421678,9,00cc46d6a6598d
23.249.234.178,0000000903005c3e06c2abe6,9,24573694,9,not_set
31.160.43.1,80000009030000fd229e1534,2,1220485,9,0000fd229e1534
37.235.112.123,8000000903006cd6e3787680,8,18645560,9,006cd6e3787680
31.160.245.241,800000090300007888acdbd0,2,14520989,9,00007888acdbd0
31.149.40.104,8000000903005cb12e608200,16,4510044,9,005cb12e608200
23.109.12.169,80001f88800378cf3438de1c64,25,3171539,8072,No Mac indication (0x03)
31.160.94.8,80000009030000f28b3d3270,2,5780643,9,0000f28b3d3270
37.74.67.169,80000009030000351a07a8b4,2,26483998,9,0000351a07a8b4
5.200.11.64,8000cda203649d99d09856,17,26510099,52642,649d99d09856
37.74.40.185,80000009030000fcba9505dc,1,193323858,9,0000fcba9505dc
31.149.74.240,800000090300ac3a67d2ef80,13,1786189,9,00ac3a67d2ef80
31.161.85.1,80000009030000f28b3d32c0,2,24283486,9,0000f28b3d32c0
31.149.155.168,80000009030070695af753f4,2,43369041,9,0070695af753f4
45.9.173.121,8000000903002c5a0ffc6880,32,40889415,9,002c5a0ffc6880
31.160.202.100,4c9effebc807,1,4774604,1285488619,not_set
5.102.141.93,80003a8c04,0,0,invalid,invalid
31.223.173.103,800000090300502fa89249c0,2,23939473,9,00502fa89249c0
31.160.190.144,80000009030000fcba714bca,2,93517364,9,0000fcba714bca
23.249.233.159,0000000903005c3e06c2abe6,9,24573694,9,not_set
31.160.171.35,80001f888021f831621e00000000000000,1,8263940,8072,No Mac indication (0x03)
31.160.46.1,80000009030000a2ee19b594,2,90006956,9,0000a2ee19b594
37.74.80.152,80000009030000eabdd5da32,2,6745371,9,0000eabdd5da32
31.20.93.1,502660000000031201007175,2,50063190,1344692224,not_set
23.249.234.215,0000000903005c3e06c2abe6,9,24573694,9,not_set
24.132.188.255,80000009030000ebd5ed8400,9,27859060,9,0000ebd5ed8400
5.102.138.193,80003a8c04,0,0,invalid,invalid
31.160.89.225,800000090300e4387ed30780,14,7951102,9,00e4387ed30780
31.149.54.143,8000000903000081c40fc156,2,17380789,9,000081c40fc156
31.149.6.247,800000090300c08c60c31900,6,53919580,9,00c08c60c31900
31.149.49.85,800000090300a4530e2ff8ac,3,15449249,9,00a4530e2ff8ac
37.220.171.1,80000634b29e2000101470d8f7,5,10289286,1588,No Mac indication (0x03)
37.114.94.2,0000000903005c3e06c2abe6,9,24573695,9,not_set
31.149.132.208,80000009030064f69d130cb4,2,965965,9,0064f69d130cb4
31.20.189.255,502660000000010030000026,8,49542340,1344692224,not_set
5.159.39.219,800000090300001e4a9f6ca8,4,199815289,9,00001e4a9f6ca8
31.3.11.49,800000090300500f8054d300,7,99055108,9,00500f8054d300
37.74.29.252,800000090300188b9d4341f0,10,46903355,9,00188b9d4341f0
31.200.208.1,80000634b22db4001014e8f756,6,69605741,1588,No Mac indication (0x03)
37.247.33.176,8000000903000005740fb2bc,8,191939751,9,000005740fb2bc
31.160.188.9,8000000903006871614ef587,1,6740261,9,006871614ef587
31.149.182.160,8000000903006cb2aed268da,3,10392350,9,006cb2aed268da
31.149.205.96,80000009030044ae25d29100,9,28441661,9,0044ae25d29100
37.235.115.28,8000000903009077eeafbc00,35,261142,9,009077eeafbc00
37.247.34.33,8000000903000005740fb2bc,8,191939751,9,000005740fb2bc
37.0.94.102,80003a8c04,0,0,invalid,invalid
