saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
94.103.144.5,93349726,145.94.229.153,2581946001,19104,245,udp,1,161,44156,113,3067020103300e02024a69020205dc040100020103041f301d040c8000000903000005740fb2bc02010802040b78cab60400040004003031040c8000000903000005740fb2bc0400a81f020237f002010002010030133011060a2b060106030f0101040041035111fd,,,,,0,0,2025-06-02T14:10:36.626+0200,1748866236,626935
144.178.248.174,2935534224,145.94.229.153,2581946001,1554,244,udp,1,161,60106,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300ac7e8a6f320102011b020401654a860400040004003030040c800000090300ac7e8a6f32010400a81e020237f002010002010030123010060a2b060106030f01010400410203e0,,,,,0,0,2025-06-02T14:10:36.978+0200,1748866236,978199
89.20.82.28,475141209,145.94.229.153,2581946001,43057,56,udp,1,161,38964,115,3069020103300f02024a69020300ffe3040100020103041f301d040d80001f8880d5af8e2d0f751e6602010d02037cc6940400040004003032040d80001f8880d5af8e2d0f751e660400a81f020237f002010002010030133011060a2b060106030f010104004103008827,,,,,0,0,2025-06-02T14:10:37.349+0200,1748866237,349184
91.189.211.173,2916334939,145.94.229.153,2581946001,39106,246,udp,1,161,40628,113,3067020103300e02024a69020205dc040100020103041f301d040c8000000903003c5731684280020110020405ef821f0400040004003031040c8000000903003c57316842800400a81f020237f002010002010030133011060a2b060106030f01010400410303eaf7,,,,,0,0,2025-06-02T14:10:37.399+0200,1748866237,399389
94.142.213.95,1607831134,145.94.229.153,2581946001,22249,241,udp,1,161,37188,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300500f807e2d0002010b020405f0b8bc0400040004003031040c800000090300500f807e2d000400a81f020237f002010002010030133011060a2b060106030f010104004103129705,,,,,0,0,2025-06-02T14:10:37.567+0200,1748866237,567648
93.117.215.61,1037530461,145.94.229.153,2581946001,26101,244,udp,1,161,50449,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903007411b2a8570002011002040139a5080400040004003030040c8000000903007411b2a857000400a81e020237f002010002010030123010060a2b060106030f0101040041020ca1,,,,,0,0,2025-06-02T14:10:38.031+0200,1748866238,31577
87.213.240.59,1005638999,145.94.229.153,2581946001,4687,243,udp,1,161,38586,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300ecc0180309000201040204012b438e0400040004003030040c800000090300ecc0180309000400a81e020237f002010002010030123010060a2b060106030f0101040041020c8b,,,,,0,0,2025-06-02T14:10:38.106+0200,1748866238,106219
93.117.228.12,216298845,145.94.229.153,2581946001,50365,244,udp,1,161,37747,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300a49bcd78eb00020130020402c57d1c0400040004003030040c800000090300a49bcd78eb000400a81e020237f002010002010030123010060a2b060106030f0101040041020dfa,,,,,0,0,2025-06-02T14:10:38.188+0200,1748866238,188802
92.67.95.69,1163871068,145.94.229.153,2581946001,41796,242,udp,1,161,39215,111,3065020103300e02024a69020205dc040100020103041e301c040c800000090300780cf019238002014f02030e2bdf0400040004003030040c800000090300780cf01923800400a81e020237f002010002010030123010060a2b060106030f01010400410200aa,,,,,0,0,2025-06-02T14:10:38.494+0200,1748866238,494991
93.117.215.187,3151459677,145.94.229.153,2581946001,20982,244,udp,1,161,58689,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903007411b2a799000201080204023c31870400040004003030040c8000000903007411b2a799000400a81e020237f002010002010030123010060a2b060106030f0101040041020a61,,,,,0,0,2025-06-02T14:10:38.529+0200,1748866238,529277
