IP,Enterprise Code,MAC,Vendor
81.171.92.131,1970372420.0,No Mac indication (0x03),
82.72.154.199,8072.0,No Mac indication (0x03),net-snmp
80.115.134.102,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.72.150.250,2863.0,No Mac indication (0x03),Thomson Inc.
80.115.12.159,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
79.99.129.65,1991.0,000cdbf9cf00,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
79.143.212.25,52642.0,649d99d25279,FS.COM INC
80.115.184.183,2863.0,No Mac indication (0x03),Thomson Inc.
80.114.117.214,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.112.101.61,2863.0,No Mac indication (0x03),Thomson Inc.
81.175.70.106,8072.0,No Mac indication (0x03),net-snmp
82.75.207.224,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.114.29.46,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.171.35.131,1970372420.0,No Mac indication (0x03),
80.115.64.243,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.113.232.64,8072.0,No Mac indication (0x03),net-snmp
81.175.70.94,8072.0,No Mac indication (0x03),net-snmp
80.112.194.73,13191.0,70fc8c677620,OneAccess
81.171.93.99,1970372420.0,No Mac indication (0x03),
81.173.97.219,8072.0,No Mac indication (0x03),net-snmp
81.173.49.19,nan,invalid,
81.173.66.96,2011.0,80b5752cf4e1,"HUAWEI Technology Co.,Ltd"
82.75.248.187,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.44.230,nan,invalid,
80.115.59.252,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.72.72.157,2863.0,No Mac indication (0x03),Thomson Inc.
82.75.211.36,2863.0,No Mac indication (0x03),Thomson Inc.
82.174.55.43,nan,invalid,
81.175.70.65,8072.0,No Mac indication (0x03),net-snmp
80.249.208.181,nan,invalid,
141.136.121.146,2011,c4ff1fce5a8c,"HUAWEI Technology Co.,Ltd"
137.174.164.33,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
143.177.228.0,1344692224,not_set,
134.19.179.169,2636,0c599c5c6200,"Juniper Networks, Inc."
143.177.172.0,1344692224,not_set,
143.178.2.1,1344692224,not_set,
143.177.199.255,1344692224,not_set,
137.174.154.131,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
137.174.172.241,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
143.179.95.255,1344692224,not_set,
137.174.153.61,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
