ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
31.160.28.49,800000090300e4387ed99a00,6,6388840,9,00e4387ed99a00
45.88.200.28,80001f8880085f760ed902886700000000,2,11381723,8072,No Mac indication (0x03)
85.146.248.1,8000000903007411b2a96080,12,43966174,9,007411b2a96080
84.104.26.255,8000000903000029c200b800,107,30107401,9,000029c200b800
31.3.15.221,80000009030058ac78269080,11,99151391,9,0058ac78269080
79.143.212.29,8000cda203649d99d25273,1,3534287,52642,649d99d25273
77.242.116.241,800000090300fc9947663998,8,13736398,9,00fc9947663998
84.14.61.59,80000009030024813bbfc248,1,20990867,9,0024813bbfc248
37.114.93.207,80000009030068efbd9c7760,2,12796194,9,0068efbd9c7760
84.104.79.1,8000000903000029c200b800,107,30107404,9,000029c200b800
31.160.174.216,80000009030004627318be16,2,52007751,9,0004627318be16
80.113.232.35,80001f8880aa5d9402806e285f00000000,36,4066891,8072,No Mac indication (0x03)
31.149.179.169,80000009030090eb50c22a80,11,5426116,9,0090eb50c22a80
84.35.89.17,8000000903008843e18da63f,4,366817535,9,008843e18da63f
83.98.248.127,80000009030000c88b4fed00,15,46448448,9,0000c88b4fed00
45.151.157.7,80001f88801851ec2b4523e76100000000,14,19148632,8072,No Mac indication (0x03)
31.149.213.240,800000090300d0e042fac080,11,5277969,9,00d0e042fac080
77.61.167.25,000000090200000427fcf90c,9,13398139,9,not_set
84.27.22.0,800000090300285261fac000,20,9321298,9,00285261fac000
85.146.231.57,8000000903004ce175f98d00,78,8899000,9,004ce175f98d00
46.226.57.109,80000009030058ac78269080,11,99151394,9,0058ac78269080
45.152.39.228,8000000903003a9c8ef500,0,0,9,003a9c8ef500
83.98.250.247,800000090300b0c53ce4ad80,34,31929175,9,00b0c53ce4ad80
46.144.98.129,800000090300bc26c7477666,1,32507176,9,00bc26c7477666
82.151.54.242,800000090300d4adbdf2d186,2,78901761,9,00d4adbdf2d186
85.146.255.183,800007db03dcef807f725e,11,9113750,2011,dcef807f725e
5.159.34.89,8000000903005897bd440100,14,33027828,9,005897bd440100
62.133.255.162,80000a4c013e85ff11,1,116105777,2636,No Mac indication (0x03)
83.86.55.0,800000090300f8b7e204e000,36,31324064,9,00f8b7e204e000
63.247.196.34,800000090300bcd295ec2b81,15,3018984,9,00bcd295ec2b81
85.90.64.23,8000000903e4c722117480,0,0,9,e4c722117480
80.113.248.44,80000009030034b883765880,12,7295564,9,0034b883765880
