IP,Enterprise Code,MAC,Vendor
109.109.116.61,9,not_set,ciscoSystems
94.101.104.217,9,002cf89b610200,ciscoSystems
94.210.134.19,4684,No Mac indication (0x03),Ambit Microsystems Corporation
94.208.34.77,2863,No Mac indication (0x03),Thomson Inc.
89.149.232.187,2636,No Mac indication (0x03),"Juniper Networks, Inc."
93.184.99.150,9,007c310eff2480,ciscoSystems
89.106.160.72,9,00f8a73af8e817,ciscoSystems
93.117.243.255,13191,70fc8c50f440,OneAccess
94.142.209.7,9,00007888895c00,ciscoSystems
91.192.39.113,8072,No Mac indication (0x03),net-snmp
92.108.28.1,9,0000a289267000,ciscoSystems
92.67.91.87,9,00f44e055c3690,ciscoSystems
92.65.114.79,9,00708105de6662,ciscoSystems
87.215.93.53,9,0000426857f300,ciscoSystems
145.128.241.40,9,No Mac indication (0x03),ciscoSystems
88.221.209.2,9,009077ee9a8500,ciscoSystems
145.131.15.34,8072,No Mac indication (0x03),net-snmp
94.75.226.64,9,000012d92bfe10,ciscoSystems
141.138.168.3,9,003a9c246c60,ciscoSystems
93.117.220.195,9,007411b2a82100,ciscoSystems
93.117.230.158,9,0024d79c373b00,ciscoSystems
92.65.61.89,9,007426acee0cec,ciscoSystems
95.128.2.109,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
92.65.1.132,12356,No Mac indication (0x03),"Fortinet, Inc."
145.131.159.212,9,No Mac indication (0x03),ciscoSystems
145.131.164.35,9,00f07f068e929c,ciscoSystems
93.92.25.95,9,00706d15fd7df2,ciscoSystems
147.28.206.27,1029560093,not_set,
91.189.208.72,9,00500f807e2d00,ciscoSystems
145.220.141.162,8072,No Mac indication (0x03),net-snmp
109.202.99.77,2636,0c599c5a1400,"Juniper Networks, Inc."
90.145.231.90,invalid,invalid,
94.215.48.255,9,00848a8df1e400,ciscoSystems
92.68.240.98,8741,18b169fb4bb8,"SonicWALL, Inc."
109.109.117.39,9,0028affd10b000,ciscoSystems
94.209.126.110,4684,No Mac indication (0x03),Ambit Microsystems Corporation
94.208.92.145,4684,No Mac indication (0x03),Ambit Microsystems Corporation
93.117.225.9,13191,70fc8c144cf3,OneAccess
93.117.215.241,13191,70fc8c160630,OneAccess
145.128.200.236,9,0000a38e87cc66,ciscoSystems
95.214.24.3,9,00401482eb0d80,ciscoSystems
93.117.217.57,9,007411b2a6dc00,ciscoSystems
89.20.89.6,8072,No Mac indication (0x03),net-snmp
92.68.183.143,9,004cec0f5b6000,ciscoSystems
139.28.200.102,9,00f04a02818600,ciscoSystems
145.94.40.1,9,0020cfae8437a0,ciscoSystems
94.101.104.107,9,0078baf9c2efaf,ciscoSystems
94.208.116.255,9,00f8b7e2057400,ciscoSystems
87.209.132.1,1344692224,not_set,
87.195.0.11,9,648f3e5e01f0,ciscoSystems
87.236.2.216,9,00bc5a566ca900,ciscoSystems
93.117.206.185,9,00802dbf701b00,ciscoSystems
87.209.196.1,1344692224,not_set,
92.65.190.49,9,00a03d6f1001c6,ciscoSystems
92.65.51.137,9,0000fcba9550cc,ciscoSystems
109.109.96.143,9,0028affd10b000,ciscoSystems
93.117.225.19,13191,70fc8c58a300,OneAccess
92.68.46.165,9,00a00f37fe9300,ciscoSystems
89.20.93.115,9,00ecbd1d981566,ciscoSystems
93.158.213.241,8072,No Mac indication (0x03),net-snmp
92.110.179.105,2863,No Mac indication (0x03),Thomson Inc.
