"Running as user ""root"" and group ""root"". This could be dangerous."
Capturing on 'wlp0s20f3'
ip.src_host;snmp.msgAuthoritativeEngineID;snmp.msgAuthoritativeEngineBoots;snmp.msgAuthoritativeEngineTime
93.117.192.1;8000000903003891b7bb0380;28;7651267
93.90.67.245;800000090300500f80a996ec;1;8376242
92.69.123.200;8000304404464754343046544b3232303536343839;1741765535;7101036
93.92.31.249;800000090300f07f06b17ede;2;19870994
134.19.179.161;80000a4c030c599c5c6200;1;149950964
94.142.212.235;800000090300500f807e2d00;11;99662512
144.178.68.97;8000000903008c9461130300;6;7867302
93.117.220.143;800007db03488eeffa0c14;23;26181293
93.117.197.141;8000000903006c13d5e34d00;38;11413634
145.220.141.93;80001f8880261889700e3bf35f00000000;17;4521658
141.255.178.58;8000000903004800b32fbd00;9;2697436
152.89.6.47;80000009030018e72874e900;27;34800288
144.178.239.224;80000009030000b7715f7981;3;14083020
151.248.49.8;800000090300700f6af61aaa;2;2590947
145.15.244.1;8000000903007426ac7ceb00;6;68304623
92.70.163.255;8000000903006cb2ae635c00;11;102238836
94.124.127.63;8000000903000005740fb2bc;8;192466093
92.67.70.183;800000090300c44d84c33b80;26;6934175
93.117.243.209;800000090300802dbf084b80;20;27145786
145.128.242.30;80000009ee005c5ac76e63cf;7;42079015
87.236.2.62;800000090300649ef3daa8b0;16;868825
151.236.147.220;80000009030070df2f02d4e1;1;6469654
145.94.100.255;80000009030020cfae83ccc0;18;37454589
93.117.199.33;800007db03fc73fb25f1d6;7;46744664
91.189.211.135;80000009030058ac78268c80;16;5076339
139.28.200.117;800000090300f04a027f4b00;14;9944553
141.255.178.30;8000000903004800b32f9800;11;4507267
94.124.93.4;80001f8880ecdca02ee02a035f00000000;27;24877280
109.109.98.65;000000090300cced4dd8501a;11;1688075
151.236.155.31;8000000903006879098d6481;3;3453989
92.223.127.54;f5717ffcbd67585d1900;12;18182563
92.108.20.255;80000009030000a289267000;8;28385417
92.71.201.79;8000000903006c8d77bada00;20;14318108
92.68.169.45;80000009030000fd221622fe;2;19363604
145.102.246.193;8000000903005006ab638100;33;1826208
91.223.124.37;800000090300005056be6995;12;63965954
95.179.143.110;80001f8880e88bd722a1949e6700000000;1;10420761
87.212.189.1;502660000000010030000010;6;49549456
87.237.28.64;800000090300885a92002ee0;23;23932747
92.65.127.126;00000009020000024b7d8d6f;11;9846614
109.235.35.5;0000000903008478ac4278d7;32;39876408
92.67.235.122;8000304404464754343046544b3232303534353735;1739209775;9656156
137.174.154.195;0000197f0000185b00a68d2c;2;52320699
93.117.215.161;800033870370fc8c115257;0;0
91.189.211.183;80000009030058ac78269080;11;99669418
91.189.102.20;0000000b0000f06281caa440;107;11011392
95.99.35.255;502660000000010030000043;7;49462839
144.178.227.30;800000090300c067af524c71;15;65336699
147.75.86.6;97ecc11775e8cffefa7c2e05416d9d30e09e807eb6a0b1d5f4d586c5144ad9f5;5;19822307
89.146.51.174;80000009ee005c5ac76e63cf;7;42079023
93.92.24.233;0000000903005c3e06c2ab20;3;34397121
149.143.20.217;800000090300588b1c9cad80;4;31292501
145.131.118.193;80001f88803c699767bd6e1e4d;41;16239679
89.38.97.94;80001f8880084b964de20e2d6700000000;2;17860297
139.122.224.18;8000000903000081c44e9500;5;9499290
94.211.33.0;800000090300d4ad710cbc00;39;33219052
87.208.56.1;502660000000010030000053;8;49462815
89.146.51.132;80000009ee000008e3fffc4c;25;60145774
93.117.207.30;800033870370fc8c161994;0;0
145.102.242.36;8000000903005006ab638100;33;1826212
93.117.231.49;800007db031c3d2fca9673;16;9090270
94.215.97.1;800000090300285261fabc00;12;30027354
109.235.38.11;800000090300d48cb558bc1e;30;3476694
93.117.255.59;800007db03cc208cbc080c;21;3394630
94.208.94.213;80000b2f05d0b2c4267a9933;1;1119303
87.236.0.77;8000000903006c310ecd5680;22;30591434
92.48.193.206;800008be8032363839303534363639;1;11116417
93.117.215.57;8000000903007cad4f951000;28;27367146
94.103.154.193;8000000903000005740fb2bc;8;192466106
93.92.30.225;800000090300fc994793fb20;1;70597111
92.71.231.113;8000000903003c08f67eeffa;4;67114299
88.208.55.126;8000000903c067af30f720;0;0
94.215.81.185;80000b2f05802994d8aafc33;1;528986
145.222.104.130;80000009038c9461e5d328;0;0
92.120.2.20;800000090300bc4a56b7d880;11;111548441
95.99.78.0;502660000000010030000034;7;57762961
94.209.37.1;8000000903006c410e152c00;9;32617551
92.70.254.17;800000090300c4f7d595c180;41;5172669
95.179.138.251;;;
89.106.162.248;8000000903001c6a7ac5d034;3;40677360
145.131.134.65;80003a8c04;0;0
87.236.5.162;800000090300bc26c7411d00;35;40459882
94.213.4.0;800000090300d4ad710d4400;23;27689868
89.146.23.255;800000090300706bb99a7654;6;47106867
92.67.103.148;800000090300d0e042554d00;30;9593274
145.102.241.69;80001f88806aa50679797fb865;1;42276686
145.131.155.51;800000090300000bbf270000;3;15787775
93.117.217.161;8000000903007411b2a87880;16;4483457
88.208.37.62;80000009032c4f52fc16bc;0;0
87.210.157.0;502660000000010030000085;6;50500116
88.208.59.126;80000009032c4f52fc18ec;0;0
94.228.128.134;80000009030024e9b3e23d18;5;68651266
89.20.86.217;80000009030070695aa74230;3;944539
89.146.16.151;800000090300005d73e8b7c0;22;29565460
151.248.51.91;80000009030000be75dc7f1f;1;4149976
93.117.212.121;800000090300cc7f7671a600;61;7034985
93.117.231.62;800007db031c3d2fca9813;14;49339516
94.210.123.255;8000000903006c410e159c00;7;27780548
94.142.209.53;800000090300ac7a56105900;15;45858072
92.66.152.30;8000304404464731303046544b3230303333333730;1745319156;3547601
143.179.192.1;502660000000031201007170;3;50674379
144.178.87.198;8000000903003c26e454a140;6;9838178
154.14.178.114;80000009030010f92092e1a8;1;29387026
141.136.120.190;8000000903000027e36e1d9c;12;15994943
94.213.34.24;80000b2f05802994c5b8f133;1;2700154
109.201.134.36;800000e804435a3134333030314b55;2;8464616
94.103.153.143;8000000903000005740fb2bc;8;192466113
92.68.82.204;00000009020000024b7d8d6f;4;4750848
93.117.242.121;800033870370fc8c160676;0;0
131.224.7.209;8000000903e4c7220611c3;0;0
93.157.0.170;80001f8880bcf7012f956e7b5a00000000;64;13563358
141.105.144.1;80000a4c044275677362756e6e79;15;20755504
145.131.235.243;800000090300d8b19072f52c;8;4839932
109.109.106.81;800000090300b0c53ce4d080;18;32455470
145.131.132.17;800022250318b1690dd754;25;3257811
141.255.178.80;80000009030010e376a29c80;5;5889250
149.143.10.25;800000090300588b1c9a9f80;9;34396509
92.65.109.81;800000090300d8b190725a94;7;94270536
145.128.184.209;800063a2807848595169fe00000001;1;14967048
145.131.159.247;80000009ee000008e3fffc14;1;113460932
93.117.247.108;800000090300d0e042fb0600;8;3343981
89.20.87.131;800000090300d4c93cc48a66;2;5965042
